127.0.0.1 - - [13/Mar/2025:14:33:37 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:33:38 +0530] "GET /Login-Register/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:33:38 +0530] "GET /Login-Register/indexStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:33:38 +0530] "GET /Login-Register/last.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:33:38 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:33:44 +0530] "GET /Login-Register/login.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:33:44 +0530] "GET /Login-Register/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:33:44 +0530] "GET /Login-Register/last.png HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:34:08 +0530] "POST /Login-Register/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:34:08 +0530] "GET /Login-Register/welcome.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [13/Mar/2025:14:34:08 +0530] "GET /Login-Register/last.png HTTP/1.1" 404 779
